N°	VARIABLE INICIAL	VARIABLE FINAL	TIPO DE DATO	PK	DESCRIPCION	ESTADO/RAZON_AUDITORIA
192	trx_q_cargos_promedio_9m_total	avg_trx_cargos_9m	decimal(38,6)		Promedio de cargos en los últimos 9 meses.	CORR-00
193	trx_q_cargos_promedio_12m_total	avg_trx_cargos_12m	decimal(38,6)		Promedio mensual de egresos en los últimos 12 meses.	CORR-00
194	trx_q_cargos_ratio_1m_efectivo_total	rat_trx_cargosefe_1m	decimal(38,6)		Ratio de cantida de cargos en efectivo respecto a la cantidad total de cargos, considerando ambos valores acumulados en el último mes.	CORR-00
195	trx_q_cargos_ratio_3m_efectivo_total	rat_trx_cargosefe_3m	decimal(38,6)		Ratio de cantidad de cargos en efectivo respecto a la cantidad total de cargos, considerando ambos valores acumulados en los últimos 3 meses.	CORR-00
196	trx_q_cargos_ratio_6m_efectivo_total	rat_trx_cargosefe_6m	decimal(38,6)		Ratio de cantidad de cargos en efectivo respecto a la cantidad total de cargos, considerando ambos valores acumulados en los últimos 6 meses.	CORR-00
197	trx_q_cargos_ratio_9m_efectivo_total	rat_trx_cargosefe_9m	decimal(38,6)		Ratio de cantidad de cargos en efectivo respecto a la cantidad total de cargos, considerando ambos valores acumulados en los últimos 9 meses.	CORR-00
198	trx_q_cargos_ratio_12m_efectivo_total	rat_trx_cargosefe_12m	decimal(38,6)		Ratio de cantidad de cargos en efectivo respecto a la cantidad total de cargos, considerando ambos valores acumulados en los últimos 12 meses.	CORR-00
199	trx_monto_cargos_1m_total	imp_trx_cargostot_1m	decimal(38,6)		Monto total de cargos realizados en el último mes.	CORR-00
200	trx_monto_cargos_3m_total	imp_trx_cargostot_3m	decimal(38,6)		Monto total de cargos realizados en los últimos 3 meses.	CORR-00
201	trx_monto_cargos_6m_total	imp_trx_cargostot_6m	decimal(38,6)		Monto total de cargos realizados en los últimos 6 meses.	CORR-00
202	trx_monto_cargos_9m_total	imp_trx_cargostot_9m	decimal(38,6)		Monto total de cargos realizados en los últimos 9 meses.	CORR-00
203	trx_monto_cargos_12m_total	imp_trx_cargostot_12m	decimal(38,6)		Monto total de cargos realizados en los últimos 12 meses.	CORR-00
204	trx_monto_cargos_1m_efectivo	imp_trx_cargosefe_1m	decimal(38,6)		Monto total de cargos  realizados en efectivo durante el último mes.	SIN-EVID
205	trx_monto_cargos_3m_efectivo	imp_trx_cargosefe_3m	decimal(38,6)		Suma total de cargos en efectivo en los últimos 3 meses.	SIN-EVID
206	trx_monto_cargos_6m_efectivo	imp_trx_cargosefe_6m	decimal(38,6)		Total egresado en efectivo en los ultimos 6 meses.	MODELO(#7;5.29%)
207	trx_monto_cargos_9m_efectivo	imp_trx_cargosefe_9m	decimal(38,6)		Monto acumulado de cargos en efectivo durante los últimos 9 meses.	CORR-00
208	trx_monto_cargos_12m_efectivo	imp_trx_cargosefe_12m	decimal(38,6)		Total anual de cargos realizados exclusivamente en efectivo.	CORR-00
209	trx_monto_cargos_promedio_3m_total	avg_trx_cargostot_3m	decimal(38,6)		Promedio de los cargos totales en los últimos 3 meses.	MODELO(#12;3.40%)
210	trx_monto_cargos_promedio_6m_total	avg_trx_cargostot_6m	decimal(38,6)		Promedio de los cargos totales en los últimos 6 meses.	CORR-00
211	trx_monto_cargos_promedio_9m_total	avg_trx_cargostot_9m	decimal(38,6)		Promedio de los cargos totales en los últimos 9 meses.	CORR-00
212	trx_monto_cargos_promedio_12m_total	avg_trx_cargostot_12m	decimal(38,6)		Promedio de los cargos  totales en los últimos 12 meses.	CORR-00
213	trx_monto_cargos_ratio_1m_efectivo_total	rat_mntcrgsefetot_1m	decimal(38,6)		Porcentaje del monto de cargos realizados en efectivo sobre el total de cargos del último mes.	MODELO(#13;3.37%)
214	trx_monto_cargos_ratio_3m_efectivo_total	rat_mntcrgsefetot_3m	decimal(38,6)		Porcentaje del monto de cargos realizados en efectivo sobre el total de cargos del los ultimos 3 meses.	CORR-00
215	trx_monto_cargos_ratio_6m_efectivo_total	rat_mntcrgsefetot_6m	decimal(38,6)		Porcentaje del monto de cargos realizados en efectivo sobre el total de cargos del los ultimos 6 meses.	CORR-00
216	trx_monto_cargos_ratio_9m_efectivo_total	rat_mntcrgsefetot_9m	decimal(38,6)		Porcentaje del monto de cargos realizados en efectivo sobre el total de cargos del los ultimos 9 meses.	SIN-EVID
217	trx_monto_cargos_ratio_12m_efectivo_total	rat_trx_cargosefe_tot_12m	decimal(38,6)		Porcentaje del monto de cargos realizados en efectivo sobre el total de cargos del los ultimos 12 meses.	CORR-00
218	q_meses_egresos_0	cnt_meses_sinegresos_12m	int		Número de meses, dentro de los últimos 12 meses, en que no se registraron cargos.	MODELO(#9;4.46%)
219	trx_monto_cargos_1m_max	max_trx_cargos_1m	decimal(38,6)		Monto más alto de cargos registrado durante el último mes.	CORR-00
220	trx_monto_cargos_3m_max	max_trx_cargos_3m	decimal(38,6)		Monto más alto de cargos registrado durante los últimos 3 meses.	CORR-00
221	trx_monto_cargos_6m_max	max_trx_cargos_6m	decimal(38,6)		Monto más alto de cargos registrado durante los últimos 6 meses.	CORR-00
222	trx_monto_cargos_9m_max	max_trx_cargos_9m	decimal(38,6)		Monto más alto de cargos registrado durante los últimos 9 meses.	CORR-00
223	trx_monto_cargos_12m_max	max_trx_cargos_12m	decimal(38,6)		Monto más alto de cargos registrado durante los últimos 12 meses.	CORR-00
224	q_trx_al_exterior_3m	cnt_trx_al_ext_3m	int		Cantidad de transacciones hacia el exterior en los últimos 3 meses.	SIN-EVID
225	q_trx_al_exterior_6m	cnt_trx_al_ext_6m	int		Cantidad de transacciones hacia el exterior en los últimos 6 meses.	SIN-EVID
226	q_trx_al_exterior_9m	cnt_trx_al_ext_9m	int		Cantidad de transacciones hacia el exterior en los últimos 9 meses.	SIN-EVID
227	q_trx_al_exterior_12m	cnt_trx_al_ext_12m	int		Cantidad de transacciones hacia el exterior en los últimos 12 meses.	SIN-EVID
228	q_trx_del_exterior_3m	cnt_trx_del_ext_3m	int		Cantidad de transacciones recibidas desde el exterior en 3 meses.	SIN-EVID
229	q_trx_del_exterior_6m	cnt_trx_del_ext_6m	int		Cantidad de transacciones recibidas desde el exterior en 6 meses.	SIN-EVID
230	q_trx_del_exterior_9m	cnt_trx_del_ext_9m	int		Cantidad de transacciones recibidas desde el exterior en 9 meses.	SIN-EVID
231	q_trx_del_exterior_12m	cnt_trx_del_ext_12m	int		Cantidad de transacciones recibidas desde el exterior en 12 meses.	SIN-EVID
232	monto_al_exterior_3m	mto_al_ext_3m	decimal(38,6)		Monto total enviado al exterior en los últimos 3 meses.	SIN-EVID
233	monto_al_exterior_6m	mto_al_ext_6m	decimal(38,6)		Monto total enviado al exterior en los últimos 6 meses.	SIN-EVID
234	monto_al_exterior_9m	mto_al_ext_9m	decimal(38,6)		Monto total enviado al exterior en los últimos 9 meses.	SIN-EVID
235	monto_al_exterior_12m	mto_al_ext_12m	decimal(38,6)		Monto total enviado al exterior en los últimos 12 meses.	MODELO(#21;1.21%)
236	monto_del_exterior_3m	mto_del_ext_3m	decimal(38,6)		Monto total recibido desde el exterior en los últimos 3 meses.	SIN-EVID
237	monto_del_exterior_6m	mto_del_ext_6m	decimal(38,6)		Monto total recibido desde el exterior en los últimos 6 meses.	SIN-EVID
238	monto_del_exterior_9m	mto_del_ext_9m	decimal(38,6)		Monto total recibido desde el exterior en los últimos 9 meses.	SIN-EVID
239	monto_del_exterior_12m	mto_del_ext_12m	decimal(38,6)		Monto total recibido desde el exterior en los últimos 12 meses.	MODELO(#17;1.95%)
240	q_meses_al_exterior_0	cnt_mes_sinenv_alext_12m	int		Cantidad de meses, dentro de los últimos 12 meses, en los que no se registraron envíos al exterior.	MODELO*(#24;0.87%)
241	q_meses_al_exterior_100	cnt_mes_al_ext_100_12m	int		Cantidad de meses, dentro de los últimos 12 meses, en que se registraron envíos al exterior mayores a 100.	SIN-EVID
242	q_meses_al_exterior_1000	cnt_mes_al_ext_1000_12m	int		Cantidad de meses, dentro de los últimos 12 meses,en que se registraron envíos al exterior mayores a 1000.	SQL-01*
243	q_meses_al_exterior_10000	cnt_mes_al_ext_10k_12m	int		Cantidad de meses, dentro de los últimos 12 meses, en que se registraron envíos al exterior mayores a 10000.	SIN-EVID
244	q_meses_al_exterior_100000	cnt_mes_al_ext_100k_12m	int		Cantidad de meses, dentro de los últimos 12 meses, en que se registraron envíos al exterior mayores a 100000.	SIN-EVID
245	q_meses_al_exterior_1000000	cnt_mes_al_ext_1000k_12m	int		Cantidad de meses, dentro de los últimos 12 meses, en que se registraron envíos al exterior mayores a 1000000.	SIN-EVID
246	q_meses_del_exterior_0	cnt_mes_sinenv_delext_12m	int		Cantidad de meses, dentro de los últimos 12 meses, sin recepción de fondos desde el exterior.	SIN-EVID
247	q_meses_del_exterior_100	cnt_mes_del_ext_100_12m	int		Cantidad de meses, dentro de los últimos 12 meses, con recepción de fondos desde el exterior mayores a 100.	SIN-EVID
248	q_meses_del_exterior_1000	cnt_mes_del_ext_1000_12m	int		Cantidad de meses, dentro de los últimos 12 meses, con recepción de fondos desde el exterior mayores a 1000.	SIN-EVID
249	q_meses_del_exterior_10000	cnt_mes_del_ext_10k_12m	int		Cantidad de meses, dentro de los últimos 12 meses, con recepción de fondos desde el exterior mayores a 10000.	SIN-EVID
250	q_meses_del_exterior_100000	cnt_mes_del_ext_100k_12m	int		Cantidad de meses, dentro de los últimos 12 meses, con recepción de fondos desde el exterior mayores a 100000.	SIN-EVID
251	q_meses_del_exterior_1000000	cnt_mes_delext_1mll_12m	int		Cantidad de meses, dentro de los últimos 12 meses, con recepción de fondos desde el exterior mayores a 1000000.	SIN-EVID
252	flag_al_exterior	flg_al_ext_12m	int		Indicador que señala si el cliente realizó envíos al exterior dentro de los últimos 12 meses.	SQL-01
253	flag_del_exterior	flg_del_ext_12m	int		Indicador que señala si el cliente recibio envíos al exterior dentro de los últimos 12 meses.	SQL-01
254	ing_del_ext_riesgo_alto	mto_ing_delextrsgalto_12m	decimal(38,6)		Monto total ingresado desde el exterior clasificado como de riesgo alto dentro de los últimos 12 meses.	SIN-EVID
255	ing_del_ext_total	mto_ing_delexttot_12m	decimal(38,6)		Monto total ingresado desde el exterior, sin distinción de riesgo dentro de los últimos 12 meses.	SIN-EVID
256	ratio_monto_ing_del_ext_alto_total	rat_ing_dl_xt_lt_tot_12m	decimal(38,6)		Proporción del monto de ingresos de riesgo alto respecto al total de ingresos desde el exterior dentro de los últimos 12 meses.	SIN-EVID
257	q_del_ext_riesgo_alto	cnt_trx_delextrsgalto_12m	int		Número de transacciones desde el exterior clasificadas como de riesgo alto dentro de los últimos 12 meses.	SIN-EVID
258	q_del_ext_total	cnt_trx_delexttot_12m	int		Número de transacciones recibidas desde el exterior dentro de los últimos 12 meses.	SIN-EVID
259	ratio_q_ing_del_ext_alto_total	rat_trx_ingextrsgalto_12m	decimal(38,6)		Ratio de transacciones de alto riesgo sobre el total de ingresos desde el exterior dentro de los últimos 12 meses.	SIN-EVID
260	ing_al_ext_riesgo_alto	mto_al_extrsgaltot_12m	decimal(38,6)		Monto total enviado al exterior identificado como de riesgo alto dentro de los últimos 12 meses.	SIN-EVID
261	ing_al_ext_total	mto_al_ext_tot_12m	decimal(38,6)		Monto total enviado al exterior dentro de los últimos 12 meses.	SIN-EVID
262	ratio_monto_ing_al_ext_alto_total	rat_mto_al_xt_lt_12m	decimal(38,6)		Ratio del monto de egresos al exterior de riesgo alto sobre el total de egresos al exterior dentro de los últimos 12 meses.	SIN-EVID
263	q_al_ext_riesgo_alto	cnt_trx_alextrsgalto	int		Cantidad de transacciones de egreso al exterior consideradas de alto riesgo.	SIN-EVID
264	q_al_ext_total	cnt_al_ext_tot_12m	int		Total de transacciones de egreso al exterior dentro de los últimos 12 meses.	SIN-EVID
265	ratio_q_ing_al_ext_alto_total	rat_cnt_ing_al_xt_lt_tot	decimal(38,6)		Ratio entre la cantidad de egresos de alto riesgo y el total de egresos internacionales.	SIN-EVID
266	cant_trx_debajo_10k_ing	cnt_trx_debajo10k_ing_12m	int		Cantidad de transacciones de ingreso que no superan los 10 000 soles dentro de los últimos 12 meses.	SIN-EVID
